1	0.0422199542
2	0.0590153636
3	0.0355122799
4	0.0316217682
5	0.0270142263
6	0.0483157783
7	0.0693925366
8	0.0561379188
9	0.0557175195
10	0.0597946270
11	0.0382626957
12	0.0452085503
13	0.0465993605
14	0.0452811243
15	0.0441705590
16	0.0164218470
17	0.0495678322
18	0.0445895540
19	0.0414762297
20	0.0426963431
21	0.0533054431
22	0.0583239403
23	0.0502236083
24	0.0414317255
25	0.0412398202
26	0.0440996098
27	0.0336841857
28	0.0349467899
29	0.0597872575
30	0.0489843879
31	0.0423528118
32	0.0181400169
33	0.0243446172
34	0.0360022196
35	0.0497553233
36	0.0536473674
37	0.0308174429
38	0.0689989218
39	0.0557761657
40	0.0344144569
41	0.0355401043
42	0.0432039921
43	0.0218213421
44	0.0526718009
45	0.0394257328
46	0.0493017565
47	0.0332752426
48	0.0422612091
49	0.0454596969
50	0.0262277106
51	0.0640961294
52	0.0373584383
53	0.0432190405
54	0.0255534270
55	0.0345195387
56	0.0511945952
57	0.0219702266
58	0.0686734387
59	0.0413632279
60	0.0572406018
61	0.0364514864
62	0.0553325908
63	0.0233042059
64	0.0423224907
65	0.0417510846
66	0.0548561151
67	0.0432808918
68	0.0265884573
69	0.0360304085
70	0.0422281490
71	0.0708799587
72	0.0256649847
73	0.0396172933
74	0.0579829234
75	0.0499292203
76	0.0446356641
77	0.0296841904
78	0.0409591987
79	0.0375960041
80	0.0595255869
81	0.0331240480
82	0.0439563462
83	0.0659518108
84	0.0199392738
85	0.0196536643
86	0.0430493426
87	0.0429136443
88	0.0345793318
89	0.0246477952
90	0.0277607898
91	0.0621078953
92	0.0544910989
93	0.0165606550
94	0.0413704359
95	0.0244929533
96	0.0368177777
97	0.0389813258
98	0.0467347146
99	0.0255098623
100	0.0439161201
